Categoria,Servicio,Unidad,Banda_baja,Banda_alta,Precio_objetivo,Incluye,No_incluye,Notas,Fuentes,Tarifa_ref_autonomo_sin_IVA,Tarifa_ref_empresa_sin_IVA
Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,"Protecciones básicas, dos manos plástica blanca","Reparaciones extensas, alisado gotelé",Precios orientativos en Valencia 2025,pintserceba.com (2025-04-22),4.75,5.46
Pintura interior,Pintura en color/blanco roto,€/m²,5.0,6.0,5.5,"Protecciones básicas, dos manos color","Alisado, reparación grietas",Valencia 2025,pintserceba.com (2025-04-22),5.5,6.32
Pintura interior,Pintar piso completo (orientativo),€ / piso,500.0,1500.0,1000.0,"Plástica lavable, 2 manos, protección","Alisado, reparaciones mayores",Piso medio en Valencia,cronoshare.com (2025-08),1000.0,1150.0
Pintura exterior,Pintar fachada (vivienda/edificio),€/m²,10.0,35.0,22.5,Lijado ligero y dos manos exterior,"Andamios complejos, saneados profundos",Rango habitual España (aplicable en Valencia),habitissimo.es (2025-01),22.5,25.87
Trabajos verticales,Oficial vertical (mano de obra),€/hora,25.0,50.0,37.5,Técnico cualificado con EPI,"Materiales, cuerdas especializadas si no se pacta",Precio hora habitual,cronoshare.com (2025-01); habitissimo.es (2025-03),37.5,43.12
Impermeabilización terraza,Pintura impermeabilizante,€/m²,10.0,50.0,30.0,"Limpieza básica, 2-3 capas","Reparación de pendientes, demolición previa",Rango según calidad de producto,habitissimo.es (2024-11),30.0,34.5
Impermeabilización terraza,Membrana de poliuretano (20 m² ref.),€/m²,25.0,30.0,27.5,Imprimación y mano de acabado,Reparación de soporte,Escalado desde ejemplo 20 m²,cronoshare.com (2025-01-12),27.5,31.62
Impermeabilización terraza,Tela asfáltica (20 m² ref.),€/m²,20.0,40.0,30.0,Lámina + solapes,Demolición pavimento existente,Escalado desde ejemplo 20 m²,cronoshare.com (2025-01-12),30.0,34.5
Pladur,Falso techo de pladur continuo,€/m²,20.0,35.0,27.5,"Estructura y placa, junta y lijado",Aislamiento acústico/térmico,Sin altura especial,cronoshare.com (2025-01-12),27.5,31.62
Pladur,Trasdosado con aislamiento (lana/Pladur),€/m²,25.0,40.0,32.5,Placa + estructura/pegado + aislante,Acabados especiales,Precios orientativos,habitissimo.es (2024-02); cronoshare.com (art. trasdosados),32.5,37.38
Pladur,Tabique simple Pladur (sistema estándar),€/m²,39.0,50.58,44.79,"Estructura, doble cara, encintado",Puertas/instalaciones internas,Referencia generador de precios,construplacmallorca.com (2024); pladur.generadordeprecios.info (2025),44.79,51.51
Climatización (mano de obra),Instalación Split 1x1 (solo mano de obra),€ / equipo,299.0,365.0,332.0,"Hasta 3-5 m de línea, soportes estándar","Obra civil, canaletas especiales, grúa","Valencia, referencias retail",mediamarkt.es (desde 299€); leroymerlin.es (365€),332.0,381.8
Climatización (equipo+instalación),Split 1x1 completo,€ / equipo,980.0,1600.0,1290.0,Equipo + instalación básica,"Obra adicional, canalización extra",Rango típico Valencia,wollyhome.com (2025-06); leroymerlin.es (modelos con instalación),1290.0,1483.5
Climatización (equipo+instalación),Multi-split 2x1 completo,€ / sistema,1691.0,1995.0,1843.0,Equipo + instalación básica,Obra adicional,Precios retail con instalación,leroymerlin.es (2025),1843.0,2119.45
Climatización (mano de obra),Instalación por conductos (sin obra),€ / sistema,1000.0,2000.0,1500.0,Montaje básico en preinstalación,Falsos techos/obras,Valencia,cronoshare.com (2025-03-24),1500.0,1725.0
Climatización/Frío (servicio),Intervención técnico aire acondicionado,€/hora,75.0,75.0,75.0,Desplazamiento + 1h mano de obra (según proveedor),"Materiales, gas",Tarifa publicada Valencia,assistahome.com (2025),75.0,86.25
Frío industrial (servicio),Intervención técnico frigorista,€/hora,85.0,85.0,85.0,Desplazamiento + 1h mano de obra (según proveedor),"Materiales, refrigerante",Tarifa publicada Valencia,assistahome.com (2025),85.0,97.75
Climatización (servicio),Recarga de gas R-410A/R-32 doméstico,€/kg + MO,80.0,140.0,110.0,Mano de obra base desde 20-25€/h,Reparación de fugas,Precio por kg de gas,cronoshare.com (2025-01-13),110.0,126.5
Electricidad,Oficial electricista (hora Valencia),€/hora,35.0,60.0,47.5,Mano de obra,Materiales,Precio medio ~50€/h,cronoshare.com (2025-01-20),47.5,54.62
Fontanería,Oficial fontanero (hora Valencia),€/hora,20.0,35.0,27.5,Mano de obra,"Materiales, urgencia nocturna",Rango habitual,habitissimo.es (2025-02-04),27.5,31.62
Rotulación (material),Impresión lona PVC 510g (solo material),€/m²,6.0,10.9,8.45,Impresión básica,"Instalación, bastidor, permisos","Precios online, pedidos estándar",clickprinting.es; rotulatumismo.com (2025),8.45,9.72
Rotulación (material),Vinilo impreso monomérico (solo material),€/m²,6.65,11.0,8.82,Impresión y corte,Instalación,Precios por volumen desde 100 m²,oedim.com; areagraficadigital.es,8.82,10.14
Rotulación (servicio),Rotulación lateral vehículo (parcial),€ / vehículo,70.0,80.0,75.0,Vinilo + montaje parcial,Retirada de vinilo antiguo,Ejemplo de mercado,cronoshare.com (2025-03-26),75.0,86.25
Rotulación (servicio),Rotulación integral coche,€ / vehículo,500.0,1000.0,750.0,Vinilo + instalación completa,Diseño avanzado,Rango habitual,cronoshare.com (2025-03-26),750.0,862.5
Contenedores,Alquiler contenedor 5-6 m³ (1 semana),€ / servicio,80.0,170.0,125.0,"Transporte, colocación y retirada",Tasas municipales/licencias,Valencia: tasas aparte y según municipio,cronoshare.com (2025-02-11); hazmeprecio.com (ejemplo tasas),125.0,143.75
Acústica,Medición acústica simple,€ / servicio,190.0,400.0,295.0,Toma de datos y pequeño informe,Proyecto/licencia,Rango habitual,cronoshare.com (2025-01-19),295.0,339.25
Acústica,Estudio acústico para licencia apertura,€ / servicio,400.0,800.0,600.0,Informe para licencia,Obras correctoras,Rango habitual,cronoshare.com (2025-01-19),600.0,690.0
Acústica (Valencia),Mediciones acústicas (caso real Valencia),€ / servicio,600.0,2950.0,1775.0,Ensayos varios según necesidad,"Obras, licencias",Media ~1.110€ en Valencia,tulicenciadeapertura.es (2025-06-27),1775.0,2041.25
Suelos vinílicos,Instalación suelo vinílico (mano de obra),€/m²,4.0,10.0,7.0,Colocación y remates básicos,"Preparación de soporte, materiales",Mano de obra; material aparte,cronoshare.com (2025-01-06),7.0,8.05
Metal (soldadura),Soldador autónomo,€/hora,20.0,30.0,25.0,Mano de obra,"Consumibles, desplazamiento",Rango medio España,habitissimo.es (2024-12),25.0,28.75
Carpintería madera,Carpintero (mano de obra),€/hora,20.0,30.0,25.0,Mano de obra,Materiales,Rango orientativo Valencia,habitissimo.es (2024-09),25.0,28.75
