Categoria,Servicio,Unidad,Banda_baja,Banda_alta,Precio_objetivo,Tarifa_ref_autonomo_sin_IVA,Tarifa_ref_empresa_sin_IVA,Fuentes
Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,4.75,5.46,pintserceba.com (2025-04-22)
Pintura interior,Pintura en color/blanco roto,€/m²,5.0,6.0,5.5,5.5,6.32,pintserceba.com (2025-04-22)
Pintura interior,Pintar piso completo (orientativo),€ / piso,500.0,1500.0,1000.0,1000.0,1150.0,cronoshare.com (2025-08)
Pintura exterior,Pintar fachada (vivienda/edificio),€/m²,10.0,35.0,22.5,22.5,25.87,habitissimo.es (2025-01)
Trabajos verticales,Oficial vertical (mano de obra),€/hora,25.0,50.0,37.5,37.5,43.12,cronoshare.com (2025-01); habitissimo.es (2025-03)
Impermeabilización terraza,Pintura impermeabilizante,€/m²,10.0,50.0,30.0,30.0,34.5,habitissimo.es (2024-11)
Impermeabilización terraza,Membrana de poliuretano (20 m² ref.),€/m²,25.0,30.0,27.5,27.5,31.62,cronoshare.com (2025-01-12)
Impermeabilización terraza,Tela asfáltica (20 m² ref.),€/m²,20.0,40.0,30.0,30.0,34.5,cronoshare.com (2025-01-12)
Pladur,Falso techo de pladur continuo,€/m²,20.0,35.0,27.5,27.5,31.62,cronoshare.com (2025-01-12)
Pladur,Trasdosado con aislamiento (lana/Pladur),€/m²,25.0,40.0,32.5,32.5,37.38,habitissimo.es (2024-02); cronoshare.com (art. trasdosados)
Pladur,Tabique simple Pladur (sistema estándar),€/m²,39.0,50.58,44.79,44.79,51.51,construplacmallorca.com (2024); pladur.generadordeprecios.info (2025)
Climatización (mano de obra),Instalación Split 1x1 (solo mano de obra),€ / equipo,299.0,365.0,332.0,332.0,381.8,mediamarkt.es (desde 299€); leroymerlin.es (365€)
Climatización (equipo+instalación),Split 1x1 completo,€ / equipo,980.0,1600.0,1290.0,1290.0,1483.5,wollyhome.com (2025-06); leroymerlin.es (modelos con instalación)
Climatización (equipo+instalación),Multi-split 2x1 completo,€ / sistema,1691.0,1995.0,1843.0,1843.0,2119.45,leroymerlin.es (2025)
Climatización (mano de obra),Instalación por conductos (sin obra),€ / sistema,1000.0,2000.0,1500.0,1500.0,1725.0,cronoshare.com (2025-03-24)
Climatización/Frío (servicio),Intervención técnico aire acondicionado,€/hora,75.0,75.0,75.0,75.0,86.25,assistahome.com (2025)
Frío industrial (servicio),Intervención técnico frigorista,€/hora,85.0,85.0,85.0,85.0,97.75,assistahome.com (2025)
Climatización (servicio),Recarga de gas R-410A/R-32 doméstico,€/kg + MO,80.0,140.0,110.0,110.0,126.5,cronoshare.com (2025-01-13)
Electricidad,Oficial electricista (hora Valencia),€/hora,35.0,60.0,47.5,47.5,54.62,cronoshare.com (2025-01-20)
Fontanería,Oficial fontanero (hora Valencia),€/hora,20.0,35.0,27.5,27.5,31.62,habitissimo.es (2025-02-04)
Rotulación (material),Impresión lona PVC 510g (solo material),€/m²,6.0,10.9,8.45,8.45,9.72,clickprinting.es; rotulatumismo.com (2025)
Rotulación (material),Vinilo impreso monomérico (solo material),€/m²,6.65,11.0,8.82,8.82,10.14,oedim.com; areagraficadigital.es
Rotulación (servicio),Rotulación lateral vehículo (parcial),€ / vehículo,70.0,80.0,75.0,75.0,86.25,cronoshare.com (2025-03-26)
Rotulación (servicio),Rotulación integral coche,€ / vehículo,500.0,1000.0,750.0,750.0,862.5,cronoshare.com (2025-03-26)
Contenedores,Alquiler contenedor 5-6 m³ (1 semana),€ / servicio,80.0,170.0,125.0,125.0,143.75,cronoshare.com (2025-02-11); hazmeprecio.com (ejemplo tasas)
Acústica,Medición acústica simple,€ / servicio,190.0,400.0,295.0,295.0,339.25,cronoshare.com (2025-01-19)
Acústica,Estudio acústico para licencia apertura,€ / servicio,400.0,800.0,600.0,600.0,690.0,cronoshare.com (2025-01-19)
Acústica (Valencia),Mediciones acústicas (caso real Valencia),€ / servicio,600.0,2950.0,1775.0,1775.0,2041.25,tulicenciadeapertura.es (2025-06-27)
Suelos vinílicos,Instalación suelo vinílico (mano de obra),€/m²,4.0,10.0,7.0,7.0,8.05,cronoshare.com (2025-01-06)
Metal (soldadura),Soldador autónomo,€/hora,20.0,30.0,25.0,25.0,28.75,habitissimo.es (2024-12)
Carpintería madera,Carpintero (mano de obra),€/hora,20.0,30.0,25.0,25.0,28.75,habitissimo.es (2024-09)
